user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Cai Bing ♡ Crypto Version 💸,,A charismatic kitty woke up from sleep to explore the #CRYPTO SPACE! #NFT #Games #Gamer #,2021-04-16 03:40:26+00:00,236.0,310,424,False,2021-11-15 07:40:56+00:00,"In our contemporary world, The popularity of #cryptocurrencies is increasing🚀

Just like its notion of #NFTs and Smart Contracts, it's now easier to own a property without the involvement of the government or third parties💯

Do you agree, @garyvee?

#Metaverse #BTC #NFT #NFTzie https://t.co/LX7aasybbo","['cryptocurrencies', 'NFTs']",Twitter for iPhone,False
cR₳ig0rz 👻 ⛓, Scotland,"Coffee, Sauna, Cardano ($ADA) 🐦 & MMA Enthusiast 🏴󠁧󠁢󠁳󠁣󠁴󠁿",2009-07-28 12:08:07+00:00,297.0,185,17044,False,2021-11-15 07:34:36+00:00,I'm going to be that neighbour in @Pavia_io that owns the little plot next to your estate and you want to buy me out because I don't mow the grass or cut the trees that block the sun but I won't sell up because I'm a D**K. Welcome to the #METAVERSE #CNFT $Ada,,Twitter for Android,False
Cat,Washington DC,Living in a tipsyworld https://t.co/0SqyGoeY7C,2008-11-17 21:58:19+00:00,364.0,288,5016,False,2021-11-15 07:23:00+00:00,"#metaverse for #adults 🔥🔥🔥
Are you ready?

#tipsylabs #Bitcoin
#BSCGem #bscgems #Blockchain #NFTs #cyber #ArtificialIntelligence #ArtificialCity #opensea #gambling #ArtificialIntelligence #VirtualReality #VirtualLand #virtualassistant https://t.co/uuqWtdfzXu","['metaverse', 'adults', 'tipsylabs', 'Bitcoin', 'BSCGem', 'bscgems', 'Blockchain', 'NFTs', 'cyber']",TweetDeck,False
Asha☘️ Baltazar☘️,Republic of the Philippines,"freelancer, crypto shiller , investor holder, ambassadress.",2021-08-12 01:32:56+00:00,77.0,197,129,False,2021-11-15 07:19:55+00:00,"@marioirivarren Few days left until Land sale end on demeter governance coin $DUSD in  
@BladesCrypto
Tear-off  calendar  End 18 Nov at 12:00(UTC)
Link symbolhttps://app.babylons.io/demetercbkland?tab=vitrine
Don't miss out!!

#CryptoBlades #Metaverse #Crypto #NFTgame #P2EGAMING #DMT #stablecoin https://t.co/tYrwfcuCqJ",,Twitter Web App,False
Crypt Stylo 🌋,,"White hat crypto trader / full stack developer
Medium:
https://t.co/rWRrHGQmrp
Telegram:
https://t.co/uAag3ZLtDA",2018-04-16 16:59:18+00:00,6544.0,674,5331,False,2021-11-15 07:03:25+00:00,"$VR @VictoriaVRcom is creating a full immersive #VirtualReality #MetaVersE 

The land is registered as #NFTs with a pre-defined limited amount

This game can be one of the top players on #GameFi https://t.co/tWWHn2wgVr","['VirtualReality', 'MetaVersE', 'NFTs']",Twitter Web App,False
"UppGRAYxDD 5.1(🛸,🛸)",Dark Metaverse,"$UFO ..One of skin who left water, inside the dark womb, inside of our mother. Prone to the beat and vibe of my tribe, I catch the drift and ride moving tides..",2021-06-05 16:06:37+00:00,154.0,396,3208,False,2021-11-15 06:32:52+00:00,"@CryptodayzTrade @undudbay_ $UFO is powering upp…

#P2E #Metaverse #Launchpad  #NFTs #VirtualLand #SuperGalactic #PvP #GameFi
Join TG: https://t.co/PaZMmfvtnl https://t.co/1q9rnwNvP9","['P2E', 'Metaverse', 'Launchpad', 'NFTs', 'VirtualLand', 'SuperGalactic']",Twitter for iPhone,False
"UppGRAYxDD 5.1(🛸,🛸)",Dark Metaverse,"$UFO ..One of skin who left water, inside the dark womb, inside of our mother. Prone to the beat and vibe of my tribe, I catch the drift and ride moving tides..",2021-06-05 16:06:37+00:00,154.0,396,3208,False,2021-11-15 06:30:31+00:00,"AR VR much? $UFO 👽🖖

#P2E #Metaverse #Launchpad  #NFTs #VirtualLand #SuperGalactic #PvP #GameFi
Join TG: https://t.co/PaZMmfvtnl https://t.co/pd0Rzvo0Oj","['P2E', 'Metaverse', 'Launchpad', 'NFTs', 'VirtualLand', 'SuperGalactic', 'PvP', 'GameFi']",Twitter for iPhone,False
Graysonware,,#SVSNFT fixes this,2021-03-01 00:31:09+00:00,619.0,965,850,False,2021-11-15 06:08:33+00:00,"Vamped in on land. #sandbox #metaverse  #NFTCommunity  #svsnft @bangwest06 Starting to see more vamps move in closer to the lair. Only 166,464 land limited supply!
53, -193 https://t.co/Qtp8mO6xko #SandboxGame","['sandbox', 'metaverse', 'NFTCommunity', 'svsnft']",Twitter Web App,False
"UppGRAYxDD 5.1(🛸,🛸)",Dark Metaverse,"$UFO ..One of skin who left water, inside the dark womb, inside of our mother. Prone to the beat and vibe of my tribe, I catch the drift and ride moving tides..",2021-06-05 16:06:37+00:00,154.0,396,3208,False,2021-11-15 06:07:01+00:00,"Forecast showing sunny dayz and making it rain ahead… $UFO 👽🖖
X-Prophacy 🛸👀
#P2E #Metaverse #Launchpad  #NFTs #VirtualLand #SuperGalactic #PvP #GameFi
Join TG: https://t.co/PaZMmfvtnl https://t.co/7351U51hVb","['P2E', 'Metaverse', 'Launchpad', 'NFTs']",Twitter for iPhone,False
Brunski,,Stand tall and smile,2021-08-28 02:49:45+00:00,165.0,199,432,False,2021-11-15 05:15:46+00:00,Can we get a @TheSandboxGame land owners follow train? I’ll go first #Thesandbox #NFTCommunity #Metaverse #SandBox https://t.co/W0aOU6fo3G,"['Thesandbox', 'NFTCommunity', 'Metaverse', 'SandBox']",Twitter for iPhone,False
